raw_name,raw_prefix,model,category,provider,prompt_type,temperature,fine_tuned,distribution,size,vectorizer,f1_macro,precision,recall,accuracy,fleiss_kappa,mean_cohen_kappa,consistency_all_runs
6B-300d_real_1000__SVM_pred,,SVM,ML,,,,,real,1000.0,6B-300d,0.8096234309623431,0.747104247104247,0.8835616438356164,0.818,,,
6B-300d_real_1000__XGBoost_pred,,XGBoost,ML,,,,,real,1000.0,6B-300d,0.8382978723404255,0.7848605577689243,0.8995433789954338,0.848,,,
6B-300d_real_2000__RandomForest_pred,,RandomForest,ML,,,,,real,2000.0,6B-300d,0.8214654282765738,0.7495291902071564,0.908675799086758,0.827,,,
6B-300d_real_2000__LogisticRegression_pred,,LogisticRegression,ML,,,,,real,2000.0,6B-300d,0.8367567567567568,0.7946611909650924,0.8835616438356164,0.849,,,
6B-300d_real_2000__KNeighbors_pred,,KNeighbors,ML,,,,,real,2000.0,6B-300d,0.7991886409736308,0.718978102189781,0.8995433789954338,0.802,,,
6B-300d_real_2000__SVM_pred,,SVM,ML,,,,,real,2000.0,6B-300d,0.851931330472103,0.8036437246963563,0.906392694063927,0.862,,,
6B-300d_real_2000__XGBoost_pred,,XGBoost,ML,,,,,real,2000.0,6B-300d,0.837953091684435,0.786,0.8972602739726028,0.848,,,
42B-300d_real_100__RandomForest_pred,,RandomForest,ML,,,,,real,100.0,42B-300d,0.6977205153617443,0.6164623467600701,0.8036529680365296,0.695,,,
42B-300d_real_100__LogisticRegression_pred,,LogisticRegression,ML,,,,,real,100.0,42B-300d,0.8203045685279188,0.7385740402193784,0.9223744292237442,0.823,,,
42B-300d_real_100__KNeighbors_pred,,KNeighbors,ML,,,,,real,100.0,42B-300d,0.7568555758683729,0.6310975609756098,0.9452054794520548,0.734,,,
42B-300d_real_100__SVM_pred,,SVM,ML,,,,,real,100.0,42B-300d,0.7842003853564548,0.6783333333333333,0.9292237442922374,0.776,,,
42B-300d_real_100__XGBoost_pred,,XGBoost,ML,,,,,real,100.0,42B-300d,0.7892561983471075,0.720754716981132,0.8721461187214612,0.796,,,
42B-300d_real_250__RandomForest_pred,,RandomForest,ML,,,,,real,250.0,42B-300d,0.6637744034707158,0.6322314049586777,0.6986301369863014,0.69,,,
42B-300d_real_250__LogisticRegression_pred,,LogisticRegression,ML,,,,,real,250.0,42B-300d,0.845360824742268,0.7706766917293233,0.9360730593607306,0.85,,,
42B-300d_real_250__KNeighbors_pred,,KNeighbors,ML,,,,,real,250.0,42B-300d,0.796875,0.6962457337883959,0.9315068493150684,0.792,,,
42B-300d_real_250__SVM_pred,,SVM,ML,,,,,real,250.0,42B-300d,0.8121720881427072,0.7514563106796116,0.8835616438356164,0.821,,,
42B-300d_real_250__XGBoost_pred,,XGBoost,ML,,,,,real,250.0,42B-300d,0.8367768595041323,0.7641509433962265,0.9246575342465754,0.842,,,
42B-300d_real_500__RandomForest_pred,,RandomForest,ML,,,,,real,500.0,42B-300d,0.7450980392156863,0.67984934086629,0.8242009132420092,0.753,,,
42B-300d_real_500__LogisticRegression_pred,,LogisticRegression,ML,,,,,real,500.0,42B-300d,0.8324552160168599,0.7729941291585127,0.9018264840182648,0.841,,,
42B-300d_real_500__KNeighbors_pred,,KNeighbors,ML,,,,,real,500.0,42B-300d,0.7856430707876371,0.6973451327433628,0.8995433789954338,0.785,,,
42B-300d_real_500__SVM_pred,,SVM,ML,,,,,real,500.0,42B-300d,0.8135593220338984,0.758893280632411,0.8767123287671232,0.824,,,
42B-300d_real_500__XGBoost_pred,,XGBoost,ML,,,,,real,500.0,42B-300d,0.8568398727465536,0.8,0.9223744292237442,0.865,,,
42B-300d_real_1000__RandomForest_pred,,RandomForest,ML,,,,,real,1000.0,42B-300d,0.8264462809917356,0.7547169811320755,0.91324200913242,0.832,,,
42B-300d_real_1000__LogisticRegression_pred,,LogisticRegression,ML,,,,,real,1000.0,42B-300d,0.8510182207931404,0.802020202020202,0.906392694063927,0.861,,,
42B-300d_real_1000__KNeighbors_pred,,KNeighbors,ML,,,,,real,1000.0,42B-300d,0.7971457696228338,0.7200736648250461,0.8926940639269406,0.801,,,
42B-300d_real_1000__SVM_pred,,SVM,ML,,,,,real,1000.0,42B-300d,0.8526315789473684,0.791015625,0.9246575342465754,0.86,,,
42B-300d_real_1000__XGBoost_pred,,XGBoost,ML,,,,,real,1000.0,42B-300d,0.8489361702127659,0.7948207171314741,0.910958904109589,0.858,,,
